Height,Angle,Radius,Thickness
160.000000,80.000000,26.144189,0.120889
160.000000,85.000000,26.144189,0.120444
160.000000,90.000000,26.144189,0.120000
160.000000,95.000000,26.144189,0.120000
160.000000,100.000000,26.144189,0.120000
160.000000,105.000000,26.144189,0.120000
160.000000,110.000000,26.144189,0.120000
160.000000,115.000000,26.144189,0.120000
160.000000,120.000000,26.144189,0.120000
160.000000,125.000000,26.144189,0.120000
160.000000,130.000000,26.144189,0.120000
160.000000,135.000000,26.144189,0.120000
160.000000,140.000000,26.144189,0.120778
160.000000,145.000000,26.144189,0.121556
160.000000,150.000000,26.144189,0.122333
160.000000,155.000000,26.144189,0.123111
160.000000,160.000000,26.144189,0.123889
160.000000,165.000000,26.144189,0.124667
160.000000,170.000000,26.144189,0.125444
160.000000,175.000000,26.144189,0.126222
160.000000,180.000000,26.144189,0.127000
160.000000,185.000000,26.144189,0.129444
160.000000,190.000000,26.144189,0.131889
160.000000,195.000000,26.144189,0.134333
160.000000,200.000000,26.144189,0.136778
160.000000,205.000000,26.144189,0.139222
160.000000,210.000000,26.144189,0.141667
160.000000,215.000000,26.144189,0.144111
160.000000,220.000000,26.144189,0.146556
160.000000,225.000000,26.144189,0.149000
160.000000,230.000000,26.144189,0.147778
160.000000,235.000000,26.144189,0.146556
160.000000,240.000000,26.144189,0.145333
160.000000,245.000000,26.144189,0.144111
160.000000,250.000000,26.144189,0.142889
160.000000,255.000000,26.144189,0.141667
160.000000,260.000000,26.144189,0.140444
160.000000,265.000000,26.144189,0.139222
160.000000,270.000000,26.144189,0.138000
160.000000,275.000000,26.144189,0.136556
160.000000,280.000000,26.144189,0.135111
160.000000,285.000000,26.144189,0.133667
160.000000,290.000000,26.144189,0.132222
160.000000,295.000000,26.144189,0.130778
160.000000,300.000000,26.144189,0.129333
160.000000,305.000000,26.144189,0.127889
160.000000,310.000000,26.144189,0.126444
160.000000,315.000000,26.144189,0.125000
160.000000,320.000000,26.144189,0.124556
160.000000,325.000000,26.144189,0.124111
160.000000,330.000000,26.144189,0.123667
160.000000,335.000000,26.144189,0.123222
160.000000,340.000000,26.144189,0.122778
